no_of_dependents,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_income_ratio,emi_proxy,emi_income_ratio,asset_total,education_ Not Graduate,self_employed_ Yes,loan_status
2,9600000,29900000,12,778,2400000,17600000,22700000,8000000,3.1145833333333326,2491666.6664590277,0.259548611089482,50700000,False,False,1
0,4100000,12200000,8,417,2700000,2200000,8800000,3300000,2.9756097560975605,1524999.999809375,0.37195121946570114,17000000,True,True,0
3,9100000,29700000,20,506,7100000,4500000,33300000,12800000,3.2637362637362632,1484999.99992575,0.16318681317865383,57700000,False,False,0
3,8200000,30700000,8,467,18200000,3300000,23300000,7900000,3.74390243902439,3837499.9995203125,0.46798780481955027,52700000,False,False,0
5,9800000,24200000,20,382,12400000,8200000,29400000,5000000,2.4693877551020402,1209999.9999395,0.12346938774892853,55000000,True,True,0
0,4800000,13500000,10,319,6800000,8300000,13700000,5100000,2.8124999999999996,1349999.999865,0.28124999997187494,33900000,False,True,0
5,8700000,33000000,4,678,22500000,14800000,29200000,4300000,3.793103448275861,8249999.9979375,0.9482758618318963,70800000,False,False,1
2,5700000,15000000,20,382,13200000,5700000,11800000,6000000,2.631578947368421,749999.9999625,0.13157894736184209,36700000,False,True,0
0,800000,2200000,20,782,1300000,800000,2800000,600000,2.7499999999999964,109999.9999945,0.13749999999312482,5500000,False,True,1
5,1100000,4300000,10,388,3200000,1400000,3300000,1600000,3.9090909090909056,429999.999957,0.3909090908699997,9500000,True,False,0
4,2900000,11200000,2,547,8100000,4700000,9500000,3100000,3.86206896551724,5599999.9972,1.9310344817931029,25400000,False,True,1
2,6700000,22700000,18,538,15300000,5800000,20400000,6400000,3.3880597014925367,1261111.1110410495,0.18822553896135064,47900000,True,True,0
3,5000000,11600000,16,311,6400000,9600000,14600000,4300000,2.3199999999999994,724999.9999546875,0.1449999999909375,34900000,True,True,0
2,9100000,31500000,14,679,10800000,16600000,20900000,5000000,3.461538461538461,2249999.999839286,0.2472527472350863,53300000,False,True,1
1,1900000,7400000,6,469,1900000,1200000,5900000,1900000,3.894736842105261,1233333.3331277778,0.6491228069093564,10900000,True,False,0
5,4700000,10700000,10,794,5700000,3900000,16400000,4400000,2.2765957446808507,1069999.999893,0.2276595744453191,30400000,True,False,1
2,500000,1600000,4,663,1300000,100000,1300000,700000,3.1999999999999935,399999.9999,0.7999999997999984,3400000,False,True,1
4,2900000,9400000,14,780,2900000,2800000,6700000,4300000,3.2413793103448265,671428.5713806122,0.23152709357952136,16700000,True,True,1
2,2700000,10300000,10,736,1000000,0,6200000,3300000,3.8148148148148135,1029999.999897,0.3814814814433332,10500000,False,False,1
5,6300000,14600000,12,652,10300000,3500000,23500000,5900000,2.317460317460317,1216666.6665652778,0.19312169310559962,43200000,False,False,1
2,5000000,19400000,12,315,9500000,1600000,18000000,6100000,3.8799999999999994,1616666.6665319444,0.3233333333063888,35200000,False,False,0
4,5800000,14000000,16,530,3800000,11300000,22200000,5400000,2.4137931034482754,874999.9999453125,0.15086206895608834,42700000,False,False,0
4,6500000,25700000,18,311,13100000,1700000,19500000,8500000,3.953846153846153,1427777.7776984568,0.2196581196459164,42800000,False,True,0
0,500000,1400000,2,551,900000,600000,1100000,300000,2.7999999999999945,699999.99965,1.3999999992999972,2900000,True,True,1
0,4900000,9800000,16,324,3800000,8700000,10000000,3300000,1.9999999999999996,612499.9999617188,0.12499999999218749,25800000,True,False,0
5,3100000,9500000,20,514,7900000,3100000,6600000,2600000,3.064516129032257,474999.99997625,0.15322580644395156,20200000,True,False,0
4,8200000,28100000,12,696,11500000,10600000,25300000,7200000,3.4268292682926824,2341666.666471528,0.28556910566725946,54600000,False,False,1
4,2400000,5600000,4,662,4500000,4200000,5400000,2500000,2.3333333333333326,1399999.99965,0.5833333331874997,16600000,True,True,1
5,7000000,24000000,6,336,2300000,11900000,27500000,9700000,3.428571428571428,3999999.999333333,0.5714285713333332,51400000,True,True,0
3,9000000,31500000,10,850,21800000,12400000,33700000,8000000,3.499999999999999,3149999.999685,0.3499999999649999,75900000,True,True,1
2,9800000,25300000,12,313,20200000,5200000,25500000,9300000,2.581632653061224,2108333.333157639,0.21513605440384068,60200000,True,False,0
2,5700000,12000000,6,363,3600000,7400000,21700000,4300000,2.1052631578947363,1999999.9996666666,0.35087719292397657,37000000,False,False,0
1,800000,1600000,10,436,700000,200000,2200000,1000000,1.9999999999999973,159999.999984,0.19999999997999973,4100000,True,True,0
5,8400000,22000000,2,830,3800000,3900000,19900000,5400000,2.6190476190476186,10999999.9945,1.3095238088690473,33000000,True,True,1
3,4900000,11900000,8,612,9700000,1200000,19000000,5800000,2.428571428571428,1487499.9998140624,0.30357142853348207,35700000,False,False,1
2,1700000,3400000,8,691,2700000,2800000,6000000,900000,1.999999999999999,424999.999946875,0.24999999996874986,12400000,False,True,1
3,1600000,6200000,18,636,3400000,700000,5300000,1400000,3.874999999999998,344444.44442530867,0.2152777777658178,10800000,True,False,1
